feature,dimension,prevalence,exposure_association,outcome_association,bias_potential,max_code_date,min_days_before_index
hdps_diagnosis__dx_ckd,diagnosis,0.31057713900741074,0.08106581643536326,0.13866626369452972,0.009253002230882872,2022-12-04,1
hdps_lab__lab_intense_monitoring,lab,0.34987648776105995,0.07723589717070772,0.028549416270217454,0.0051824178680449275,2022-12-01,1
hdps_diagnosis__dx_cvd,diagnosis,0.2984504828205704,0.021698027833978673,0.0725404204245993,0.00439647905183997,2022-11-29,1
hdps_diagnosis__dx_prior_hf,diagnosis,0.16752750954412757,0.043914791568360007,0.11192551103534848,0.0042534829409544015,2022-10-28,1
hdps_medication__rx_ras_blocker,medication,0.3965865708511116,0.0429229717587894,0.016234486297497797,0.0039754840354328915,2022-11-15,1
hdps_visit__visit_high_util,visit,0.27442173815405346,0.033857213499415006,0.038454848276641806,0.003690223938349394,2022-11-17,1
hdps_medication__rx_statin,medication,0.41006063328093423,0.017837202575257116,0.02084076222614567,0.0034446994495140716,2022-11-28,1
hdps_diagnosis__dx_smoking_proxy,diagnosis,0.2364697956433865,0.015299477062500427,0.054973082041068405,0.00322615705456827,2022-11-01,1
hdps_diagnosis__dx_htn,diagnosis,0.6492252414102851,0.012648025571579069,0.020940055720319872,0.003102540642659466,2022-12-03,1
hdps_procedure__px_frailty_eval,procedure,0.14641814507073883,0.05224284596937358,0.0614253472373216,0.0030714871182576024,2022-11-25,1
hdps_lab__lab_egfr_low,lab,0.8612171569728273,0.05266643988804354,0.06818600208153947,0.0030688939316612005,2022-12-07,1
hdps_procedure__px_kidney_monitoring,procedure,0.3406692117673479,0.009539448168425946,0.023466604046536055,0.0030377798253759,2022-12-02,1
hdps_diagnosis__dx_frailty_proxy,diagnosis,0.1298001347406243,0.04291408376049592,0.08783161852744123,0.0030320606565510905,2022-11-10,2
hdps_medication__rx_insulin,medication,0.45452503929934873,0.0022502795679463228,0.016405894409703803,0.002951019701464208,2022-11-27,1
hdps_diagnosis__dx_social_risk_proxy,diagnosis,0.28362901414776553,0.024196161354336998,0.008100754630555762,0.002727881760270896,2022-11-26,1
hdps_procedure__px_cardiac_test,procedure,0.275544576689872,0.0069869766585004545,0.01290126892736937,0.0024112002144696383,2022-12-09,1
hdps_lab__lab_a1c_high,lab,0.13271951493375253,0.010298766022636935,0.05366632167613217,0.0019509390851286162,2022-12-09,3
hdps_medication__rx_loop_diuretic,medication,0.1390074107343364,0.005368350969276597,0.01707050852764419,0.0014763694688746916,2022-11-08,1
hdps_visit__visit_ed,visit,0.16685380642263642,0.0011382697814522058,0.003002722236234434,0.0014481766992594316,2022-11-22,2
